<version>,<mean_time>,<total>
910,1.99971,97.986
911,2.00508,98.249
912,2.00084,98.041
913,2.00914,98.448
914,2.00814,98.399
915,2.01188,98.582
916,2.01188,98.582
917,2.0152,98.745
918,2.01439,98.705
919,2.01961,98.961
920,2.02055,99.007
921,2.02178,99.067
922,2.02392,99.172
923,2.02494,99.222
924,2.02704,99.325
925,2.02818,99.381
926,2.02776,99.36
927,2.03445,99.688
928,2.02798,99.371
929,2.03145,99.541
930,2.03686,99.806
931,2.0441,100.161
932,2.04471,100.191
933,2.04233,100.074
934,2.04786,100.345
935,2.04939,100.42
936,2.05176,100.536
937,2.05135,100.516
938,2.059,100.891
939,2.05451,100.671
940,2.06051,100.965
941,2.05971,100.926
942,2.06486,101.178
943,2.06198,101.037
944,2.06686,101.276
945,2.06849,101.356
946,2.06908,101.385
947,2.06769,101.317
948,2.07049,101.454
949,2.07471,101.661
950,2.07482,101.666
951,2.07418,101.635
952,2.08151,101.994
953,2.08357,102.095
954,2.08692,102.259
955,2.08633,102.23
956,2.08682,102.254
957,2.09153,102.485
958,2.09906,102.854
959,2.09335,102.574
960,2.097,102.753
961,2.09441,102.626
962,2.09924,102.863
963,2.09608,102.708
964,2.10041,102.92
965,2.10243,103.019
966,2.10312,103.053
967,2.12686,104.216
968,2.10861,103.322
969,2.10682,103.234
970,2.11233,103.504
971,2.11369,103.571
972,2.12271,104.013
973,2.11176,103.476
974,2.12406,104.079
975,2.12163,103.96
976,2.12286,104.02
977,2.12594,104.171
978,2.12576,104.162
979,2.12982,104.361
980,2.13029,104.384
981,2.12608,104.178
982,2.13645,104.686
983,2.13767,104.746
984,2.14069,104.894
985,2.13747,104.736
986,2.13861,104.792
987,2.14547,105.128
988,2.14204,104.96
989,2.14747,105.226
990,2.149,105.301
991,2.15139,105.418
992,2.1531,105.502
993,2.15355,105.524
994,2.16173,105.925
995,2.15484,105.587
996,2.15814,105.749
997,2.15849,105.766
998,2.1598,105.83
999,2.16465,106.068
1000,2.16306,105.99
1001,2.17231,106.443
1002,2.17047,106.353
1003,2.17263,106.459
1004,2.17486,106.568
